code,name,position,start,end,description
"enoteca",エノテカ株式会社,副店長,2002/7/1,2004/9/30,イタリアンレストランの副店長として従事。接客、顧客管理、店舗運営サポート、飲料管理、卸業者との折衝などを担当。
"answer",株式会社アンサー,なし,2004/10/1,2010/11/30,ソフトハウスのSEとして従事。PLやアプリインフラエンジニアとして、要件定義〜保守までの各種フェーズを担当。新規事業推進室では、新人・キャリアSE向け研修事業の刷新案件を立ち上げ、基盤構築〜講義運営、顧客サポートまで担当。
"presa",株式会社プレーサ,取締役,2010/12/1,,発起人として、小規模なソフトウェアベンダーの立ち上げから、運営の全般を経験。開発プロセスのコンサルティング、システム障害解消、開発インフラやアプリケーションフレームワークの立案〜構築などを担当しています。
"devlove",DevLOVE,なし,2018/05/31,,越境者の集い にJoin。DevLOVEコミュニティの運営に参加して、越境する人をサポートしています。
"tag",The Agile Guild,なし,2018/07/20,,任意団体 The Agile Guild にJoin。行き届いていない所へテクノロジーを届けるために、何ができるか日々模索しています。
